"seed","dataset","model","bias_level","accuracy","error_rate","PR_gap","TPR_gap","Error_gap"
14,"simulated","random_forest","mild",0.686,0.314,0.164,0.130137487201989,0.00800000000000001
14,"simulated","random_forest","moderate",0.679,0.321,0.174,0.156245429281849,0.002
14,"simulated","random_forest","severe",0.683,0.317,0.154,0.13635366388767,0.002
15,"simulated","logistic_regression","balanced",0.664,0.336,0.102,0.0647452087357004,0.028
15,"simulated","logistic_regression","mild",0.651,0.349,0.12,0.104932402317635,0.00600000000000001
15,"simulated","logistic_regression","moderate",0.651,0.349,0.132,0.117233694844748,0.00600000000000001
15,"simulated","logistic_regression","severe",0.651,0.349,0.136,0.12543455652949,0.002
15,"simulated","decision_tree","balanced",0.632,0.368,0.086,0.049145743574506,0.032
15,"simulated","decision_tree","mild",0.637,0.363,0.112,0.114767493685931,0.01
15,"simulated","decision_tree","moderate",0.648,0.352,0.11,0.110176793938494,0.00800000000000001
15,"simulated","decision_tree","severe",0.638,0.362,0.094,0.0872084385678205,0
15,"simulated","random_forest","balanced",0.644,0.356,0.142,0.112642995097311,0.02
15,"simulated","random_forest","mild",0.646,0.354,0.13,0.128227603625019,0.00800000000000001
15,"simulated","random_forest","moderate",0.639,0.361,0.124,0.123948893180805,0.00600000000000001
15,"simulated","random_forest","severe",0.636,0.364,0.17,0.16955875798544,0.00800000000000001
16,"simulated","logistic_regression","balanced",0.668,0.332,0.156,0.149338510209951,0.024
16,"simulated","logistic_regression","mild",0.673,0.327,0.178,0.187086568881219,0.01
16,"simulated","logistic_regression","moderate",0.675,0.325,0.162,0.178027034800115,0.002
16,"simulated","logistic_regression","severe",0.67,0.33,0.168,0.180974978429681,0.004
16,"simulated","decision_tree","balanced",0.633,0.367,0.182,0.204127121081392,0.00600000000000001
16,"simulated","decision_tree","mild",0.636,0.364,0.148,0.181118780557952,0.024
16,"simulated","decision_tree","moderate",0.64,0.36,0.096,0.0989358642507909,0.016
16,"simulated","decision_tree","severe",0.653,0.347,0.206,0.182772505033074,0.038
16,"simulated","random_forest","balanced",0.665,0.335,0.15,0.160195570894449,0.00600000000000001
16,"simulated","random_forest","mild",0.658,0.342,0.176,0.177451826287029,0.016
16,"simulated","random_forest","moderate",0.669,0.331,0.166,0.171052631578947,0.01
16,"simulated","random_forest","severe",0.662,0.338,0.196,0.211173425366695,0
17,"simulated","logistic_regression","balanced",0.695,0.305,0.094,0.0478021978021979,0.05
17,"simulated","logistic_regression","mild",0.697,0.303,0.098,0.0672771672771673,0.034
17,"simulated","logistic_regression","moderate",0.689,0.311,0.13,0.106105006105006,0.026
17,"simulated","logistic_regression","severe",0.701,0.299,0.122,0.0946886446886447,0.03
17,"simulated","decision_tree","balanced",0.663,0.337,0.118,0.0924908424908425,0.026
17,"simulated","decision_tree","mild",0.651,0.349,0.174,0.148534798534798,0.026
17,"simulated","decision_tree","moderate",0.674,0.326,0.072,0.027960927960928,0.048
17,"simulated","decision_tree","severe",0.674,0.326,0.0519999999999999,0.0261904761904762,0.032
17,"simulated","random_forest","balanced",0.7,0.3,0.12,0.0865079365079365,0.036
17,"simulated","random_forest","mild",0.695,0.305,0.126,0.121978021978022,0.00600000000000001
17,"simulated","random_forest","moderate",0.685,0.315,0.138,0.105494505494506,0.034
17,"simulated","random_forest","severe",0.676,0.324,0.152,0.120757020757021,0.032
18,"simulated","logistic_regression","balanced",0.68,0.32,0.102,0.0870962558251648,0.00800000000000001
18,"simulated","logistic_regression","mild",0.686,0.314,0.13,0.103278161658364,0.02
18,"simulated","logistic_regression","moderate",0.681,0.319,0.112,0.0952595211312872,0.01
18,"simulated","logistic_regression","severe",0.683,0.317,0.12,0.0967057689217419,0.018
18,"simulated","decision_tree","balanced",0.662,0.338,0.166,0.150233006588462,0.00800000000000001
18,"simulated","decision_tree","mild",0.629,0.371,0.192,0.203695966575607,0.014
18,"simulated","decision_tree","moderate",0.657,0.343,0.0720000000000001,0.0639080829182066,0.00199999999999995
18,"simulated","decision_tree","severe",0.615,0.385,0.304,0.344062349349189,0.038
18,"simulated","random_forest","balanced",0.676,0.324,0.134,0.128057207134822,0
18,"simulated","random_forest","mild",0.668,0.332,0.142,0.140012855535915,0.004
18,"simulated","random_forest","moderate",0.672,0.328,0.102,0.0872408806042102,0.00800000000000001
18,"simulated","random_forest","severe",0.672,0.328,0.138,0.144528362526113,0.012
19,"simulated","logistic_regression","balanced",0.682,0.318,0.052,0.0996735164202036,0.052
19,"simulated","logistic_regression","mild",0.687,0.313,0.046,0.0825171243838422,0.042
19,"simulated","logistic_regression","moderate",0.682,0.318,0.0679999999999999,0.12825683374944,0.064
19,"simulated","logistic_regression","severe",0.68,0.32,0.064,0.124575891428206,0.064
19,"simulated","decision_tree","balanced",0.657,0.343,0.00600000000000001,0.0117149990397541,0.014
19,"simulated","decision_tree","mild",0.661,0.339,0.034,0.0675372895461238,0.038
19,"simulated","decision_tree","moderate",0.633,0.367,0.134,0.193681582485116,0.062
19,"simulated","decision_tree","severe",0.663,0.337,0.034,0.0660329044235325,0.034
19,"simulated","random_forest","balanced",0.671,0.329,0.09,0.141348185135395,0.054
19,"simulated","random_forest","mild",0.674,0.326,0.048,0.0796043787209526,0.036
19,"simulated","random_forest","moderate",0.663,0.337,0.11,0.153543307086614,0.046
19,"simulated","random_forest","severe",0.661,0.339,0.078,0.123071506305614,0.046
20,"simulated","logistic_regression","balanced",0.658,0.342,0.08,0.167277167277167,0.076
20,"simulated","logistic_regression","mild",0.659,0.341,0.094,0.169413919413919,0.062
20,"simulated","logistic_regression","moderate",0.656,0.344,0.12,0.188949938949939,0.056
20,"simulated","logistic_regression","severe",0.659,0.341,0.122,0.21001221001221,0.078
20,"simulated","decision_tree","balanced",0.646,0.354,0.12,0.2002442002442,0.068
20,"simulated","decision_tree","mild",0.649,0.351,0.0580000000000001,0.143772893772894,0.07
20,"simulated","decision_tree","moderate",0.638,0.362,0.112,0.158119658119658,0.028
20,"simulated","decision_tree","severe",0.641,0.359,0.154,0.210622710622711,0.042
20,"simulated","random_forest","balanced",0.644,0.356,0.08,0.136141636141636,0.048
20,"simulated","random_forest","mild",0.644,0.356,0.08,0.137362637362637,0.048
20,"simulated","random_forest","moderate",0.663,0.337,0.11,0.166361416361416,0.046
20,"simulated","random_forest","severe",0.652,0.348,0.12,0.184065934065934,0.056
21,"simulated","logistic_regression","balanced",0.69,0.31,0.17,0.167833015763035,0.00800000000000001
21,"simulated","logistic_regression","mild",0.687,0.313,0.192,0.20045037242335,0.014
21,"simulated","logistic_regression","moderate",0.692,0.308,0.178,0.178347479646631,0.00800000000000001
21,"simulated","logistic_regression","severe",0.694,0.306,0.182,0.20552572319418,0.028
21,"simulated","decision_tree","balanced",0.673,0.327,0.204,0.202269184133033,0.002
21,"simulated","decision_tree","mild",0.672,0.328,0.07,0.0783474796466309,0.024
21,"simulated","decision_tree","moderate",0.671,0.329,0.116,0.126901091287026,0.022
21,"simulated","decision_tree","severe",0.667,0.333,0.12,0.103758877533345,0.014
21,"simulated","random_forest","balanced",0.678,0.322,0.162,0.180148969340031,0.028
21,"simulated","random_forest","mild",0.685,0.315,0.188,0.226173566603153,0.042
21,"simulated","random_forest","moderate",0.679,0.321,0.184,0.214567815693747,0.038
21,"simulated","random_forest","severe",0.691,0.309,0.188,0.209146024597263,0.026
22,"simulated","logistic_regression","balanced",0.702,0.298,0.124,0.0979064039408867,0.004
22,"simulated","logistic_regression","mild",0.699,0.301,0.134,0.10762898625875,0.00600000000000001
22,"simulated","logistic_regression","moderate",0.702,0.298,0.104,0.0871791547835106,0.004
22,"simulated","logistic_regression","severe",0.685,0.315,0.114,0.0992027482499351,0.002
22,"simulated","decision_tree","balanced",0.632,0.368,0.16,0.18369198859217,0.012
22,"simulated","decision_tree","mild",0.692,0.308,0.204,0.158607726212082,0.02
22,"simulated","decision_tree","moderate",0.681,0.319,0.186,0.18796992481203,0.014
22,"simulated","decision_tree","severe",0.676,0.324,0.176,0.172186932849365,0.016
22,"simulated","random_forest","balanced",0.672,0.328,0.156,0.109281825252787,0.028
22,"simulated","random_forest","mild",0.688,0.312,0.172,0.131740990407052,0.016
22,"simulated","random_forest","moderate",0.675,0.325,0.162,0.151283380865958,0.00600000000000001
22,"simulated","random_forest","severe",0.669,0.331,0.154,0.140102411200415,0.002
23,"simulated","logistic_regression","balanced",0.683,0.317,0.106,0.122755659640906,0.01
23,"simulated","logistic_regression","mild",0.69,0.31,0.12,0.14207650273224,0.016
23,"simulated","logistic_regression","moderate",0.693,0.307,0.106,0.133749674733281,0.022
23,"simulated","logistic_regression","severe",0.694,0.306,0.1,0.121194379391101,0.016
23,"simulated","decision_tree","balanced",0.658,0.342,0.0279999999999999,0.0391621129326047,0.00399999999999995
23,"simulated","decision_tree","mild",0.645,0.355,0.186,0.199128285193859,0.01
23,"simulated","decision_tree","moderate",0.684,0.316,0.116,0.127764767109029,0.004
23,"simulated","decision_tree","severe",0.656,0.344,0.056,0.0361696591204789,0.024
23,"simulated","random_forest","balanced",0.685,0.315,0.094,0.102393963049701,0.002
23,"simulated","random_forest","mild",0.687,0.313,0.102,0.0742258652094718,0.034
23,"simulated","random_forest","moderate",0.695,0.305,0.078,0.0856102003642987,0.002
23,"simulated","random_forest","severe",0.695,0.305,0.074,0.0693468644288316,0.01
24,"simulated","logistic_regression","balanced",0.692,0.308,0.08,0.109094453995994,0
24,"simulated","logistic_regression","mild",0.701,0.299,0.082,0.137524592779028,0.03
24,"simulated","logistic_regression","moderate",0.699,0.301,0.098,0.141778478881228,0.014
24,"simulated","logistic_regression","severe",0.7,0.3,0.088,0.161771743561566,0.048
24,"simulated","decision_tree","balanced",0.685,0.315,0.094,0.126730356794697,0.00600000000000001
24,"simulated","decision_tree","mild",0.687,0.313,0.154,0.230560626739219,0.05
24,"simulated","decision_tree","moderate",0.674,0.326,0.124,0.171272089189812,0.02
24,"simulated","decision_tree","severe",0.683,0.317,0.118,0.180240699055283,0.034
24,"simulated","random_forest","balanced",0.692,0.308,0.048,0.0579414736170438,0.016
24,"simulated","random_forest","mild",0.673,0.327,0.126,0.144366259593399,0.00600000000000001
