"seed","model","bias_level","delta_accuracy","delta_PR_gap","delta_TPR_gap","delta_Error_gap"
22,"decision_tree","severe",0.044,0.0159999999999999,-0.0115050557428054,0.004
22,"random_forest","mild",0.0159999999999999,0.016,0.0224591651542649,-0.012
22,"random_forest","moderate",0.003,0.00600000000000001,0.0420015556131709,-0.022
22,"random_forest","severe",-0.003,-0.002,0.0308205859476276,-0.026
23,"logistic_regression","mild",0.0069999999999999,0.014,0.0193208430913349,0.00600000000000001
23,"logistic_regression","moderate",0.0099999999999999,-5.55111512312578e-17,0.0109940150923757,0.012
23,"logistic_regression","severe",0.0109999999999999,-0.00600000000000006,-0.00156128024980473,0.00600000000000001
23,"decision_tree","mild",-0.013,0.158,0.159966172261254,0.00600000000000006
23,"decision_tree","moderate",0.026,0.088,0.0886026541764247,5.55111512312578e-17
23,"decision_tree","severe",-0.002,0.0280000000000001,-0.00299245381212587,0.02
23,"random_forest","mild",0.002,0.00800000000000001,-0.0281680978402289,0.032
23,"random_forest","moderate",0.0099999999999999,-0.016,-0.016783762685402,0
23,"random_forest","severe",0.0099999999999999,-0.02,-0.0330470986208691,0.00800000000000001
24,"logistic_regression","mild",0.00900000000000001,0.00199999999999995,0.0284301387830341,0.03
24,"logistic_regression","moderate",0.00700000000000001,0.018,0.0326840248852338,0.014
24,"logistic_regression","severe",0.00800000000000001,0.00799999999999995,0.0526772895655719,0.048
24,"decision_tree","mild",0.002,0.06,0.103830269944522,0.044
24,"decision_tree","moderate",-0.011,0.03,0.0445417323951152,0.014
24,"decision_tree","severe",-0.002,0.024,0.0535103422605859,0.028
24,"random_forest","mild",-0.0189999999999999,0.078,0.0864247859763555,-0.01
24,"random_forest","moderate",-0.001,0.078,0.111735408284443,0.002
24,"random_forest","severe",-0.0089999999999999,0.09,0.125720058845425,0.002
25,"logistic_regression","mild",0.001,-0.026,-0.0490945881061802,-0.022
25,"logistic_regression","moderate",0,-0.02,-0.0366280266136223,-0.016
25,"logistic_regression","severe",0.003,-0.038,-0.0569483503669662,-0.018
25,"decision_tree","mild",-0.0199999999999999,0.06,0.0833390493175115,0.02
25,"decision_tree","moderate",-0.0089999999999999,0.054,0.0693120241443171,0.018
25,"decision_tree","severe",-0.0129999999999999,0.00600000000000001,0.00768228273544125,0.026
25,"random_forest","mild",0.00600000000000001,-0.056,-0.0780403319843611,-0.02
25,"random_forest","moderate",0.00700000000000001,0.002,-0.0029837437409973,-0.00600000000000001
25,"random_forest","severe",0.00800000000000001,-0.056,-0.0899924549008848,-0.032
26,"logistic_regression","mild",-0.003,-0.01,0,0.01
26,"logistic_regression","moderate",-0.00700000000000001,-0.00600000000000006,-0.00718390804597691,-0.002
26,"logistic_regression","severe",-0.00600000000000001,-0.00800000000000006,-0.0116379310344827,-0.004
26,"decision_tree","mild",-0.01,-0.04,-0.0382183908045975,0.004
26,"decision_tree","moderate",-0.003,0.026,0.00459770114942537,0.014
26,"decision_tree","severe",-0.036,0.164,0.205747126436782,0.028
26,"random_forest","mild",0.017,0.014,-0.0175287356321839,-0.03
26,"random_forest","moderate",0.00600000000000001,-0.024,-0.0464080459770114,-0.02
26,"random_forest","severe",0.005,0.026,0.00560344827586212,-0.022
27,"logistic_regression","mild",-0.004,-0.012,-0.00857950667836593,0
27,"logistic_regression","moderate",0,0.004,0.00518345195151282,0
27,"logistic_regression","severe",0.004,0.00799999999999995,-0.0114393422378213,0.02
27,"decision_tree","mild",-0.00900000000000001,0.106,0.0843488999382535,0.00199999999999995
27,"decision_tree","moderate",-0.012,0.076,0.0748594455818791,-0.02
27,"decision_tree","severe",-0.012,0.112,0.137483344707679,-0.028
27,"random_forest","mild",0.00800000000000001,-5.55111512312578e-17,-0.0161515712846513,-0.016
27,"random_forest","moderate",-0.0129999999999999,-0.0180000000000001,-0.0109681193331383,0.002
27,"random_forest","severe",-0.00599999999999989,-0.0360000000000001,-0.0755744044717429,0
28,"logistic_regression","mild",0,-0.004,-0.0070214338507022,-0.00399999999999995
28,"logistic_regression","moderate",0,0.00800000000000001,0.0102549889135256,0.004
28,"logistic_regression","severe",0.003,0.042,0.0568181818181819,0.018
28,"decision_tree","mild",-0.01,0.0240000000000001,0.0126570583887656,0.00800000000000001
28,"decision_tree","moderate",0.012,0.0440000000000001,0.0521988174427198,-0.012
28,"decision_tree","severe",-0.013,0.0420000000000001,0.0563562453806356,-0.002
28,"random_forest","mild",-0.017,0.002,0,-0.00199999999999995
28,"random_forest","moderate",-0.005,-0.0180000000000001,0.00240206947524024,0.022
28,"random_forest","severe",0,-0.00400000000000006,0.00535846267553586,0.012
